chName,style,歌入／無,テンポ,説明文,備考
北陸 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは北陸のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
北陸 ～演歌／歌謡曲～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは北陸の演歌／歌謡曲にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
石川 ～民謡～,リピート放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは石川県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
福井 ～民謡～,リピート放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは福井県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
富山 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは富山県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
新潟 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは新潟県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
関西 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは関西地方のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
関西 ～演歌／歌謡曲～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは関西地方の演歌／歌謡曲にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
大阪 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは大阪府のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
京都 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは京都府のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
兵庫 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは兵庫県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
奈良 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは奈良県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
滋賀 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは滋賀県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
和歌山 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは和歌山県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
関西 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは関西地方の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
大阪 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは大阪府の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
京都 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは京都府の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
兵庫 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは兵庫県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
奈良 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは奈良県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
滋賀 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは滋賀県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
和歌山 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは和歌山県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
四国 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは四国地方のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
四国 ～演歌／歌謡曲～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは四国地方の演歌／歌謡曲にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します,
徳島 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは徳島県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
香川 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは香川県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
愛媛 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは愛媛県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
高知 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは高知県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
四国 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは四国地方の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
徳島 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは徳島県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
香川 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは香川県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
愛媛 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは愛媛県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
高知 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは高知県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
中国地方 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは中国地方のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
中国地方 ～演歌／歌謡曲～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは中国地方の演歌／歌謡曲にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
中国地方 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは中国地方の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
岡山 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは岡山県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
岡山 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは岡山県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
広島 ～J-POP～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは広島県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
広島 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは広島県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
鳥取 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは鳥取県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
島根 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは島根県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
山口 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは山口県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
九州 ～J-POP～,シャッフル放送,混在,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは九州のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
九州 ～演歌／歌謡曲～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは九州地方の演歌／歌謡曲にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
九州 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは九州地方の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
福島 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは福島県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
福岡 ～J-POP～,シャッフル放送,混在,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは福岡県のJ-POPにスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
福岡 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは福岡県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
佐賀 ～民謡～,リピート放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは佐賀県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
長崎 ～民謡～,リピート放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは長崎県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
大分 ～民謡～,リピート放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは大分県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
熊本 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは熊本県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
宮崎 ～民謡～,シャッフル放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは宮崎県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
鹿児島 ～民謡～,リピート放送,入,オール,出身アーティストやご当地にちなんだ楽曲のみを集めて地域活性化を応援するチャンネルです。当チャンネルでは鹿児島県の民謡にスポットをあてた楽曲をセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
沖縄 ～J-POP～,シャッフル放送,入,ミドル～アップ,沖縄出身アーティストのJ-POPを集めて地域活性化を応援するチャンネルです。ミドルテンポ以上の盛り上がる楽曲を中心にセレクト。物産展やアンテナショップをはじめ、飲食店や観光施設など様々な場所でご利用いただけます。音楽を通して地域の魅力を発信し、心に響く空間を演出します。,
沖縄風三線BGM J-POPカヴァー,シャッフル放送,無,スロー～ミドル,沖縄の島風やたおやかな海を感じさせる伝統楽器「三線」。その素朴で温かい音色で、J-POPの名曲や定番曲のメロディを奏でるアレンジ楽曲をお届けします。心に染み入る優しい調べは、カフェのコーヒータイムなどリラックスしたい空間のBGMにぴったり。聴き馴染みのある懐かしの旋律と、沖縄の情緒を感じる三線の響き。心休まるひとときを優しく演出します。,
沖縄カチャーシータイム,リピート放送,入,ミドル～アップ,「カチャーシー」とは「かきまぜる」という意味を持ち、「歌や踊りに島人の喜怒哀楽を＜かきまぜて＞即興の歌舞に打ち興ずるところに由来する」その定番曲「唐船ドーイ」「嘉手久」「ハイサイおじさん」「豊年音頭」「多幸山」「アッチャメー小」を様々なアーティストでお届します。自由に手足を動かし、体を動かし、とにかく楽しむこと！　それがカチャーシーです。,
沖縄J-POP☆ヒットパレード,シャッフル放送,入,オール,沖縄出身アーティストによるJ-POPの名曲・ヒット曲を、新旧あわせてお届けします。歴代の音楽賞受賞曲や、記録的メガ・ヒット曲、さまざまにカヴァーされている楽曲など、時代を越えて愛され続ける名曲の数々。ヒットした当時を知らないどの世代が一緒に聴いても楽しい、故郷・沖縄への愛あふれるHits番組です。幅広い世代に愛されるお店のBGMとしてぜひご利用ください。,
沖縄J-POP 2010's Hits,シャッフル放送,入,オール,2010年代の沖縄出身アーティストによるJ-POPを集めた専門チャンネル。三浦大知「EXITE」、安室奈美恵「Hero」、DA PUMP「U.S.A.」、FLiP「ワンダーランド」、D-51「ファミリア」など懐かしい楽曲から記憶に新しいナンバーまで、ヒット曲をセレクトしてお届けします。20代～30代がターゲットのお店でのご利用にも最適です。,
沖縄J-POP 2000's Hits,シャッフル放送,入,オール,BEGIN「島人ぬ宝」、MONGOL800「小さな恋のうた」、かりゆし58「アンマー」、ORANGE RANGE「イケナイ太陽」、安室奈美恵「NEVER END」など今でも人気の楽曲が数多くリリースされた2000年～2009年のヒット曲をセレクトしました。世代を超えて愛されるメロディーが、店内に心地よい一体感を演出します。,
沖縄J-POP 90's Hits,シャッフル放送,入,オール,安室奈美恵「Chase the Chance」、DA PUMP「Rhapsody in Blue」、Kiroro「長い間」、SPEED「Body & Soul」、Cocco「強く儚い者たち」など今も愛される数々の名曲が誕生した90年代のヒット曲を集めました。幅広い世代に支持される楽曲で素敵な空間を作り上げます。,
沖縄アクターズスクール・セレクション,シャッフル放送,入,オール,「沖縄アクターズスクール」出身アーティストの専門チャンネル。安室奈美恵 with SUPER MONKEY'S「TRY ME～私を信じて～」やSPEED「Body & Soul」といった今なお愛される伝説の名曲に、B.B.WAVES「Funkify You」などの今を時めくフレッシュなアーティストの楽曲を織り交ぜてお送りします。沖縄のパワフルなエネルギーで、活気あふれる空間を演出します。,
沖縄HIP HOP,シャッフル放送,入,オール,沖縄のHIP HOPシーンの熱気をパッケージングした店舗向けBGM。シーンを賑わす沖縄出身・在住のHIP HOPアーティストを軸に、青い海と空、街角のストリートカルチャーが交差する沖縄ならではのバイブスが魅力の楽曲をセレクト。地元沖縄でのご利用はもちろん、内地でのムード演出にもオススメ。若い世代の方々へのアプローチも可能な、今の沖縄HIP HOPシーンのサウンドトラックとしてもお楽しみ頂けます。,
幼児が落ち着く音楽,シャッフル放送,無,ミドル～アップ,立命館大学の山本寿子先生（※現所属：大阪公立大学）とUSENの共同研究で得られた、幼児が落ち着く音楽の特徴をもとに制作したUSENオリジナル曲による番組です。幼児の関心を引きつけ、楽しさを感じるような展開や効果音を取り入れた、活気のあるコミカルな雰囲気の音楽になっています。保育・幼児教育の場面はもちろん、商業施設などでお子様に落ち着いて、楽しく過ごしてもらいたい場面にもおすすめのBGMです。,
子どもの食事のための音楽,リピート放送,入,ミドル～アップ,昭和女子大学の池上真平先生と野嵜茉莉先生との共同研究をもとに制作した、USENオリジナル曲による番組です。「他者と食べることを楽しみ、食べ物への興味や関心をもつ」という食育の観点に基づき、食べる意欲とポジティブなコミュニケーションを引き出す、ほどよく覚醒的で心地よい楽曲に仕上げました。食に関する学びを得ながら幼児が楽しく食事ができる、保育現場やご家庭の食事の時間におすすめのチャンネルです。,
どんぐりの森のメロディ,シャッフル放送,混在,オール,幅広い年代に多くのファンを持つスタジオジブリ作品。誰もが一度は作品を観て感動を憶えたことでしょう。このチャンネルでは、そんなスタジオジブリ作品から生まれたいろいろな楽曲を24時間お届けしています。公式サウンドトラックからはもちろん、イメージ・アルバムやオルゴール・アレンジされた各種音源なども織り交ぜて放送していますので、お子様が集まる施設やスペースでもご利用いただけます。,
どんぐりの森のメロディ （インストゥルメンタル）,シャッフル放送,無,オール,幅広い年代に多くのファンを持つスタジオジブリ作品。誰もが一度は作品を観て感動を憶えたことでしょう。このチャンネルでは、そんなスタジオジブリ作品から生まれたインストゥルメンタル（歌なし）楽曲のみをお届けしています。公式サウンドトラックからはもちろん、イメージ・アルバムなども織り交ぜて放送していますので、お子様が集まる施設やスペースでもご利用いただけます。,
どんぐりの森のメロディ （オルゴール）,シャッフル放送,無,スロー,幅広い年代に多くのファンを持つスタジオジブリ作品。誰もが一度は作品を観て感動を憶えたことでしょう。このチャンネルでは、そんなスタジオジブリ作品から生まれた楽曲をオルゴールアレンジでお届けしています。小児科、小児歯科などの医療施設など、お子様が来られる施設やスペースでご利用いただけます。,
みんなのうた,シャッフル放送,入,オール,NHKで長年にわたり放送され、幅広い年齢層から高い支持を集めている音楽番組「みんなのうた」の楽曲を紹介するチャンネルです。最近では、Official髭男dismやBE:FIRSTといったJ-POPアーティストも歌唱し、注目を浴びています。そんな近年放送された楽曲から1961年の放送開始当時の楽曲まで、番組から生まれた数々の名曲をお届けします。また、年4回特集番組の放送も行っています。,
みんなだいすき♪キッズ・ソング,シャッフル放送,入,オール,幼稚園・保育園児から小学校低学年の子どもたちに大人気のアニメ楽曲を24時間いつでも聴けるチャンネルです。「それいけ！アンパンマン」、「ドラえもん」など、大人気のアニメの楽曲は何度聴いても楽しくてウキウキするもの。最新アニメ主題歌はもちろん、みんなに愛されているキャラクターが歌うナンバーまで網羅した100％キッズのためのアニメソング・チャンネルです。【推奨対象年齢】5歳～10歳,
みんなだいすき♪キッズ・ソング・クリスマス,シャッフル放送,入,オール,人気アニメキャラクターが歌う子供向けX'masナンバー。,
最新☆J-POP for KIDS,シャッフル放送,入,オール,キッズに人気のJ-POP楽曲をお届けする専門チャンネル。人気のアーティストやアイドルの最新曲、アニメ主題歌になっている注目のJ-POPナンバーなどをお送りしています。ほかの最新系チャンネルとは一線を画した、キッズ向けのベストヒット・ナンバーが勢ぞろいです。【推奨対象年齢】6歳～12歳ぐらい,
HAPPY♪KIDDY SONGS,シャッフル放送,入,ミドル～アップ,人気コンピ・アルバム『KIDS BOSSA』などに代表されるカヴァー作品をはじめとした、カフェ＆ラウンジ・ミュージックを集めてお送りします。誰もが知っている童謡「メリーさんの羊」やザ・ビートルズ「レット・イット・ビー」といった洋楽を子どもたちが英語でボサノヴァ／ハウス調のリズムに合わせて明るく楽しく歌うキッズ・チャンネルです。,
HAPPY♪KIDDY X’mas SONGS,シャッフル放送,入,オール,明るく楽しいPOPでHAPPY♪な英語のX'masのうたを。,
#feelin' good：day,シャッフル放送,混在,オール,音楽サブスク・サービスのプレイリストにあるような「自由でボーダーレスな感性」と「店内・空間演出」をテーマとした新感覚BGM。洗練されたJ-POPや洋楽を中心にインスト楽曲も織り交ぜ、デイタイムを彩る楽曲をセレクト。常に最新の音楽シーンともリンクし、Z世代・Y世代など若い世代の方へ向けたグローバルでおしゃれな店内BGMとしてオススメです。,
#feelin' good：night,シャッフル放送,混在,オール,音楽サブスク・サービスのプレイリストにあるような「自由でボーダーレスな感性」と「店内・空間演出」をテーマとした新感覚BGM。洗練されたJ-POPや洋楽を中心にインスト楽曲も織り交ぜ、ナイトタイムを彩る楽曲をセレクト。常に最新の音楽シーンともリンクし、Z世代・Y世代など若い世代の方へ向けたグローバルでおしゃれな店内BGMとしてオススメです。,
アガる！令和のJ-POP＆洋楽,シャッフル放送,入,ミドル～アップ,令和のJ-POPや洋楽シーンから“アガる”曲を厳選！ 話題の楽曲を多くセレクトしているので今の流行をキャッチすることもできます。飲食店や小売り店をはじめ、幅広い業種でご利用いただける汎用性の高いチャンネルです。アクティブで賑やかな活気あふれる空間の演出にぜひご活用ください。,
おしゃれ邦楽,シャッフル放送,入,ミドル,邦楽が好きだが、ありきたりなJ-POPではお店の演出ができない。そんな悩みを抱えていませんか？「おしゃれ邦楽」チャンネルでは音楽感度の高いお客様が集うお店のために、おしゃれな楽曲を厳選してお届けします。幅広いお客様に心地よく過ごしていただけるように、ミドルテンポの楽曲を中心にセレクト。感性を刺激する洗練されたサウンドが上質な空間を演出し、お客様の記憶に残るお店作りをサポートします。,
